Oestrich-Winkel, Stadt|06439012|439|Rheingau-Taunus-Kreis|Darmstadt
Offenbach am Main, St.|06413000|413||Darmstadt
Ortenberg, Stadt|06440019|440|Wetteraukreis|Darmstadt
Ottrau|06634020|634|Schwalm-Eder-Kreis|Kassel
Otzberg|06432017|432|Darmstadt-Dieburg|Darmstadt
Petersberg|06631020|631|Fulda|Kassel
Pfungstadt, Stadt|06432018|432|Darmstadt-Dieburg|Darmstadt
Philippsthal (Werra)|06632016|632|Hersfeld-Rotenburg|Kassel
Pohlheim, Stadt|06531014|531|Gießen|Gießen
Poppenhausen (Wasserkuppe)|06631021|631|Fulda|Kassel
Rabenau|06531015|531|Gießen|Gießen
Ranstadt|06440020|440|Wetteraukreis|Darmstadt
Rasdorf|06631022|631|Fulda|Kassel
Raunheim, Stadt|06433010|433|Groß-Gerau|Darmstadt
Rauschenberg, Stadt|06534017|534|Marburg-Biedenkopf|Gießen
Reichelsheim (Odenwald)|06437013|437|Odenwaldkreis|Darmstadt
Reichelsheim (Wetterau), Stadt|06440021|440|Wetteraukreis|Darmstadt
Reinhardshagen|06633022|633|Kassel|Kassel
Reinheim, Stadt|06432019|432|Darmstadt-Dieburg|Darmstadt
Reiskirchen|06531016|531|Gießen|Gießen
Riedstadt|06433011|433|Groß-Gerau|Darmstadt
Rimbach|06431019|431|Bergstraße|Darmstadt
Ringgau|06636010|636|Werra-Meißner-Kreis|Kassel
Rockenberg|06440022|440|Wetteraukreis|Darmstadt
Rodenbach|06435023|435|Main-Kinzig-Kreis|Darmstadt
Rödermark, Stadt|06438012|438|Offenbach|Darmstadt
Rodgau, Stadt|06438011|438|Offenbach|Darmstadt
Romrod, Stadt|06535014|535|Vogelsbergkreis|Gießen
Ronneburg|06435024|435|Main-Kinzig-Kreis|Darmstadt
Ronshausen|06632017|632|Hersfeld-Rotenburg|Kassel
Roßdorf|06432020|432|Darmstadt-Dieburg|Darmstadt
Rosbach v. d. Höhe, Stadt|06440023|440|Wetteraukreis|Darmstadt
Rosenthal, Stadt|06635017|635|Waldeck-Frankenberg|Kassel
Rotenburg a. d. Fulda, Stadt|06632018|632|Hersfeld-Rotenburg|Kassel
Rüdesheim am Rhein, Stadt|06439013|439|Rheingau-Taunus-Kreis|Darmstadt
Runkel, Stadt|06533013|533|Limburg-Weilburg|Gießen
Rüsselsheim, Stadt|06433012|433|Groß-Gerau|Darmstadt
Schaafheim|06432021|432|Darmstadt-Dieburg|Darmstadt
Schauenburg|06633023|633|Kassel|Kassel
Schenklengsfeld|06632019|632|Hersfeld-Rotenburg|Kassel
Schlangenbad|06439014|439|Rheingau-Taunus-Kreis|Darmstadt
Schlitz, Stadt|06535015|535|Vogelsbergkreis|Gießen
Schlüchtern, Stadt|06435025|435|Main-Kinzig-Kreis|Darmstadt
Schmitten|06434009|434|Hochtaunuskreis|Darmstadt
Schöffengrund|06532018|532|Lahn-Dill-Kreis|Gießen
Schöneck|06435026|435|Main-Kinzig-Kreis|Darmstadt
Schotten, Stadt|06535016|535|Vogelsbergkreis|Gießen
Schrecksbach|06634021|634|Schwalm-Eder-Kreis|Kassel
Schwalbach am Taunus, Stadt|06436011|436|Main-Taunus-Kreis|Darmstadt
Schwalmstadt, Stadt|06634022|634|Schwalm-Eder-Kreis|Kassel
Schwalmtal|06535017|535|Vogelsbergkreis|Gießen
Schwarzenborn, Stadt|06634023|634|Schwalm-Eder-Kreis|Kassel
Seeheim-Jugenheim|06432022|432|Darmstadt-Dieburg|Darmstadt
Seligenstadt, Stadt|06438013|438|Offenbach|Darmstadt
Selters (Taunus)|06533014|533|Limburg-Weilburg|Gießen
Siegbach|06532019|532|Lahn-Dill-Kreis|Gießen
Sinn|06532020|532|Lahn-Dill-Kreis|Gießen
Sinntal|06435027|435|Main-Kinzig-Kreis|Darmstadt
Söhrewald|06633024|633|Kassel|Kassel
Solms, Stadt|06532021|532|Lahn-Dill-Kreis|Gießen
Sontra, Stadt|06636011|636|Werra-Meißner-Kreis|Kassel
Spangenberg, Liebenbachstadt|06634024|634|Schwalm-Eder-Kreis|Kassel
Stadtallendorf, Stadt|06534018|534|Marburg-Biedenkopf|Gießen
Staufenberg, Stadt|06531017|531|Gießen|Gießen
Steffenberg|06534019|534|Marburg-Biedenkopf|Gießen
Steinau an der Straße, Stadt|06435028|435|Main-Kinzig-Kreis|Darmstadt
Steinbach (Taunus), Stadt|06434010|434|Hochtaunuskreis|Darmstadt
Stockstadt am Rhein|06433013|433|Groß-Gerau|Darmstadt
Sulzbach (Taunus)|06436012|436|Main-Taunus-Kreis|Darmstadt
Tann (Rhön), Stadt|06631023|631|Fulda|Kassel
Taunusstein, Stadt|06439015|439|Rheingau-Taunus-Kreis|Darmstadt
Trebur|06433014|433|Groß-Gerau|Darmstadt
Trendelburg, Stadt|06633025|633|Kassel|Kassel
Twistetal|06635018|635|Waldeck-Frankenberg|Kassel
Ulrichstein, Stadt|06535018|535|Vogelsbergkreis|Gießen
Usingen, Stadt|06434011|434|Hochtaunuskreis|Darmstadt
Vellmar, Stadt|06633026|633|Kassel|Kassel
Viernheim, Stadt|06431020|431|Bergstraße|Darmstadt
Villmar|06533015|533|Limburg-Weilburg|Gießen
Vöhl|06635019|635|Waldeck-Frankenberg|Kassel
Volkmarsen, Stadt|06635020|635|Waldeck-Frankenberg|Kassel
Wabern|06634025|634|Schwalm-Eder-Kreis|Kassel
Wächtersbach, Stadt|06435029|435|Main-Kinzig-Kreis|Darmstadt
Wald-Michelbach|06431021|431|Bergstraße|Darmstadt
Waldbrunn (Westerwald)|06533016|533|Limburg-Weilburg|Gießen
Waldeck, Stadt|06635021|635|Waldeck-Frankenberg|Kassel
Waldems|06439016|439|Rheingau-Taunus-Kreis|Darmstadt
Waldkappel, Stadt|06636012|636|Werra-Meißner-Kreis|Kassel
Waldsolms|06532022|532|Lahn-Dill-Kreis|Gießen
Walluf|06439017|439|Rheingau-Taunus-Kreis|Darmstadt
Wanfried, Stadt|06636013|636|Werra-Meißner-Kreis|Kassel
Wartenberg|06535019|535|Vogelsbergkreis|Gießen
Wehretal|06636014|636|Werra-Meißner-Kreis|Kassel
Wehrheim|06434012|434|Hochtaunuskreis|Darmstadt
Weilburg, Stadt|06533017|533|Limburg-Weilburg|Gießen
Weilmünster, Marktflecken|06533018|533|Limburg-Weilburg|Gießen
Weilrod|06434013|434|Hochtaunuskreis|Darmstadt
Weimar (Lahn)|06534020|534|Marburg-Biedenkopf|Gießen
Weinbach|06533019|533|Limburg-Weilburg|Gießen
Weißenborn|06636015|636|Werra-Meißner-Kreis|Kassel
Weiterstadt, Stadt|06432023|432|Darmstadt-Dieburg|Darmstadt
Wesertal|06633030|633|Kassel|Kassel
Wettenberg|06531018|531|Gießen|Gießen
Wetter (Hessen), Stadt|06534021|534|Marburg-Biedenkopf|Gießen
Wetzlar, Stadt|06532023|532|Lahn-Dill-Kreis|Gießen
Wiesbaden, Landeshauptstadt|06414000|414||Darmstadt
Wildeck|06632020|632|Hersfeld-Rotenburg|Kassel
Willingen (Upland)|06635022|635|Waldeck-Frankenberg|Kassel
Willingshausen|06634026|634|Schwalm-Eder-Kreis|Kassel
Witzenhausen, Stadt|06636016|636|Werra-Meißner-Kreis|Kassel
Wohratal|06534022|534|Marburg-Biedenkopf|Gießen
Wölfersheim|06440024|440|Wetteraukreis|Darmstadt
Wolfhagen, Stadt|06633028|633|Kassel|Kassel
Wöllstadt|06440025|440|Wetteraukreis|Darmstadt
Zierenberg, Stadt|06633029|633|Kassel|Kassel
Zwingenberg, Stadt|06431022|431|Bergstraße|Darmstadt
